grid_cell,total_complaints,total_nuisance,total_chronic_locations,days_since_last_complaint,complaint_years_active,most_common_dept,avg_resolution_days,nuisance_rate,pct_call_center,complaint_count_30d,nuisance_count_30d,chronic_loc_count_30d,complaint_count_60d,nuisance_count_60d,chronic_loc_count_60d,complaint_count_90d,nuisance_count_90d,chronic_loc_count_90d,total_violations,open_violations,env_violations,chronic_parcels,unique_parcels,violation_years_active,lien_filed_count,avg_lien_status,open_violation_rate,env_violation_rate,chronic_parcel_rate,dist_to_nearest_siren_km,siren_coverage_gap,target_nuisance_binary,target_nuisance_count,target_any_complaint,cell_lat,cell_lon
0.0000_0.0000,1.0,1.0,0.0,1249.0,1.0,2.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9631.8916,1,0.0,0.0,0.0,0.0,0.0
32.0000_-86.0000,382.0,62.0,264.0,303.0,1.0,0.0,1.15234375,0.1623,0.7801047120418848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1526,1,0.0,0.0,0.0,32.0,-86.0
32.0250_-86.1000,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.6925,1,0.0,0.0,0.0,32.025,-86.1
32.0350_-86.0550,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.2802,1,0.0,0.0,0.0,32.035,-86.055
32.1300_-86.1550,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,6.0,1.0,3.0,0.0,0.0,0.3333,1.0,6.0,2.1031,0,0.0,0.0,0.0,32.13,-86.155
32.2000_-86.0700,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.7492,0,0.0,0.0,0.0,32.2,-86.07
32.2150_-86.1750,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2701,0,0.0,0.0,0.0,32.215,-86.175
32.2350_-86.3250,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0115,0,0.0,0.0,0.0,32.235,-86.325
32.2400_-86.3450,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4967,0,0.0,0.0,0.0,32.24,-86.345
32.2600_-86.3050,0.0,0.0,0.0,0.0,0.0,2.0,14.252834890965733,0.0,0.8748626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.381,0,0.0,0.0,0.0,32.26,-86.305
