ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_Siren_Number,USER_Street_Address,USER_City,USER_State,USER_Zip_Code,USER_In_City_Limits_,USER_Pike_Road_
1,World,M,100,A,"102 Erin Ln, Montgomery, Alabama, 36108","102 Erin Ln, Montgomery, AL, 36108, USA",102 Erin Ln,StreetAddress,,,"102 Erin Ln, Montgomery, Alabama, 36108",,,20,,102,198,102,102-198,L,,,Erin,Ln,,,,,,,,,102 Erin Ln,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36108,,USA,United States,ENG,0,-86.43413895,32.352368155325,-86.43413895,32.352368155325,-86.43513895,-86.43313895,32.351368155325,32.353368155325,,,,102 Erin Lane,,,,Montgomery,,Alabama,36108,,,5301122,102 Erin Lane,Montgomery,Alabama,36108,Yes,No
2,World,M,100,A,"2001 W Fairview Ave, Montgomery, Alabama, 36108","2001 W Fairview Ave, Montgomery, AL, 36108, USA",2001 W Fairview Ave,PointAddress,,,"2001 W Fairview Ave, Montgomery, Alabama, 36108",,,20,,2001,,,,,W,,Fairview,Ave,,,,,,,,,2001 W Fairview Ave,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36108,4118,USA,United States,ENG,0,-86.32491051,32.351394604123,-86.32485099,32.349548992864,-86.32585099,-86.32385099,32.348548992864,32.350548992864,,Commercial,,2001 W. Fairview Av.,,,,Montgomery,,Alabama,36108,,,5301115,2001 W. Fairview Av.,Montgomery,Alabama,36108,Yes,No
3,World,M,100,A,"375 Hunter Loop Rd, Montgomery, Alabama, 36108","375 Hunter Loop Rd, Montgomery, AL, 36108, USA",375 Hunter Loop Rd,PointAddress,,,"375 Hunter Loop Rd, Montgomery, Alabama, 36108",,,20,,375,,,,,,,Hunter Loop,Rd,,,,,,,,,375 Hunter Loop Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36108,1824,USA,United States,ENG,0,-86.38709551,32.35333837,-86.38741302,32.353002001696,-86.38841302,-86.38641302,32.352002001696,32.354002001696,,Commercial,,375 Hunter Loop Rd,,,,Montgomery,,Alabama,36108,,,5301101,375 Hunter Loop Rd,Montgomery,Alabama,36108,Yes,No
4,World,M,100,A,"3315 Hayneville Rd, Montgomery, Alabama, 36108","3315 Hayneville Rd, Montgomery, AL, 36108, USA",3315 Hayneville Rd,PointAddress,,,"3315 Hayneville Rd, Montgomery, Alabama, 36108",,,20,,3315,,,,,,,Hayneville,Rd,,,,,,,,,3315 Hayneville Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36108,3902,USA,United States,ENG,0,-86.35555785,32.348734439513,-86.35555097,32.348328001028,-86.35655097,-86.35455097,32.347328001028,32.349328001028,,Commercial,,3315 Hayneville Rd.,,,,Montgomery,,Alabama,36108,,,5301123,3315 Hayneville Rd.,Montgomery,Alabama,36108,Yes,No
5,World,T,100,A,"Birmingham Hwy & Twin Lakes Pkwy, Montgomery, Alabama, 36108","Birmingham Hwy & Twin Lakes Pkwy, Montgomery, AL, 36108, USA",Birmingham Hwy & Twin Lakes Pkwy,StreetInt,,,"Birmingham Hwy & Twin Lakes Pkwy, Montgomery, Alabama, 36108",,,20,,,,,,,,,,,,,,,,,,,Birmingham Hwy & Twin Lakes Pkwy,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36108,1432,USA,United States,ENG,0,-86.38301512,32.385961908095,-86.38301512,32.385961908095,-86.38401512,-86.38201512,32.384961908095,32.386961908095,,,,Birmingham Highway @ Twin Lakes Pkwy,,,,Montgomery,,Alabama,36108,,,5301113,Birmingham Highway @ Twin Lakes Pkwy,Montgomery,Alabama,36108,Yes,No
6,World,M,100,A,"201 6th St, Montgomery, Alabama, 36104","201 6th St, Montgomery, AL, 36104, USA",201 6th St,PointAddress,,,"201 6th St, Montgomery, Alabama, 36104",,,20,,201,,,,,,,6th,St,,,,,,,,,201 6th St,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36104,1630,USA,United States,ENG,0,-86.31511793,32.403797340767,-86.31511198,32.403390986101,-86.31611198,-86.31411198,32.402390986101,32.404390986101,,Commercial,Office,201 6th St.,,,,Montgomery,,Alabama,36104,,,5301156,201 6th St.,Montgomery,Alabama,36104,Yes,No
7,World,M,99.51,A,"400 Mobile St, Montgomery, Alabama, 36104","400 Mobile St, Montgomery, AL, 36104, USA",400 Mobile St,PointAddress,,,"400 Mobile St, Montgomery, Alabama, 36104",,,20,,400,,,,,,,Mobile,St,,,,,,,,,400 Mobile St,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36104,3931,USA,United States,ENG,0,-86.31550442,32.373288973408,-86.31559301,32.373380000877,-86.31659301,-86.31459301,32.372380000877,32.374380000877,,Commercial,Recreation,400 Mobile St.,,,,Montgomery,,Alabama,36108,,,5301125,400 Mobile St.,Montgomery,Alabama,36108,Yes,No
8,World,M,100,A,"Schley St & Rice St, Montgomery, Alabama, 36104","Schley St & Rice St, Montgomery, AL, 36104, USA",Schley St & Rice St,StreetInt,,,"Schley St & Rice St, Montgomery, Alabama, 36104",,,20,,,,,,,,,,,,,,,,,,,Schley St & Rice St,,,Bell Street,,Montgomery,,Montgomery County,Alabama,AL,,,36104,,USA,United States,ENG,0,-86.34079279,32.371164789596,-86.34079279,32.371164789596,-86.34179279,-86.33979279,32.370164789596,32.372164789596,,,,Schley St. @ Rice St.,,,,Montgomery,,Alabama,36104,,,5301157,Schley St. @ Rice St.,Montgomery,Alabama,36104,Yes,No
9,World,M,100,A,"6425 Wares Ferry Rd, Montgomery, Alabama, 36117","6425 Wares Ferry Rd, Montgomery, AL, 36117, USA",6425 Wares Ferry Rd,PointAddress,,,"6425 Wares Ferry Rd, Montgomery, Alabama, 36117",,,20,,6425,,,,,,,Wares Ferry,Rd,,,,,,,,,6425 Wares Ferry Rd,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36117,3317,USA,United States,ENG,0,-86.18948686,32.400324173458,-86.18996597,32.400785010495,-86.19096597,-86.18896597,32.399785010495,32.401785010495,,Commercial,,6425 Wares Ferry Rd.,,,,Montgomery,,Alabama,36117,,,5301205,6425 Wares Ferry Rd.,Montgomery,Alabama,36117,Yes,No
10,World,M,100,A,"3425 Old Wetumpka Hwy, Montgomery, Alabama, 36110","3425 Old Wetumpka Hwy, Montgomery, AL, 36110, USA",3425 Old Wetumpka Hwy,StreetAddress,,,"3425 Old Wetumpka Hwy, Montgomery, Alabama, 36110",,,20,,3425,3329,3495,3329-3495,L,,,Old Wetumpka,Hwy,,,,,,,,,3425 Old Wetumpka Hwy,,,,,Montgomery,,Montgomery County,Alabama,AL,,,36110,,USA,United States,ENG,0,-86.21606883,32.431482946867,-86.21606883,32.431482946867,-86.21706883,-86.21506883,32.430482946867,32.432482946867,,,,3425 Old Wetumpka Hwy,,,,Montgomery,,Alabama,36110,,,5301214,3425 Old Wetumpka Hwy,Montgomery,Alabama,36110,Yes,No
