feature,importance
nuisance_count_60d,0.27095976285639384
nuisance_count_30d,0.24012355996543214
nuisance_count_90d,0.10563790747801864
complaint_count_30d,0.06942339674687889
complaint_count_60d,0.06250395361308482
complaint_count_90d,0.043425098430919046
days_since_last_complaint,0.03725824412009476
chronic_loc_count_60d,0.031137939776212036
chronic_loc_count_30d,0.02366309386525422
chronic_loc_count_90d,0.013574272553581316
total_complaints,0.012375735127729796
total_nuisance,0.010792512498529697
open_violations,0.010616787612280411
env_violations,0.008879325634160013
total_violations,0.007871471115917088
chronic_parcels,0.007856401269644332
chronic_parcel_rate,0.006058858022127996
violation_years_active,0.005961017373417124
nuisance_rate,0.005105587436592987
unique_parcels,0.004950168638941307
total_chronic_locations,0.004808910272241244
dist_to_nearest_siren_km,0.002417439208252002
avg_resolution_days,0.0021201477927206046
pct_call_center,0.001925253452878124
open_violation_rate,0.0018906077890858354
env_violation_rate,0.0018330997199105812
cell_lat,0.0016378928393330527
complaint_years_active,0.001606347207024244
cell_lon,0.0015929475345852061
avg_lien_status,0.0010809170404845244
most_common_dept,0.0005054148278796687
lien_filed_count,0.00038158549929133054
siren_coverage_gap,2.434268110316106e-05
