grid_cell,cell_lat,cell_lon,risk_score,risk_label,risk_flag,target_nuisance_binary,total_complaints,total_nuisance,open_violations,dist_to_nearest_siren_km,siren_coverage_gap,nuisance_rate,open_violation_rate,chronic_parcel_rate
0.0000_0.0000,0.0,0.0,0.0,,0,0.0,1.0,1.0,0.0,9631.8916,1,1.0,0.0,0.0
32.0000_-86.0000,32.0,-86.0,0.8498986536683601,High,1,1.0,382.0,62.0,0.0,9.1526,1,0.1623,0.0,0.0
32.2600_-86.3700,32.26,-86.37,0.0,,0,0.0,2.0,1.0,0.0,3.4996,1,0.5,0.0,0.0
32.2650_-86.3600,32.265,-86.36,0.0,,0,0.0,2.0,0.0,0.0,3.5025,1,0.0,0.0,0.0
32.2650_-86.3650,32.265,-86.365,0.0,,0,0.0,3.0,1.0,0.0,3.7005,1,0.3333,0.0,0.0
32.2700_-86.3550,32.27,-86.355,0.0,,0,0.0,6.0,0.0,0.0,3.6862,1,0.0,0.0,0.0
32.2700_-86.3600,32.27,-86.36,0.0,,0,0.0,9.0,2.0,0.0,3.848,1,0.2222,0.0,0.0
32.2700_-86.3700,32.27,-86.37,0.0,,0,0.0,1.0,1.0,0.0,4.3093,1,1.0,0.0,0.0
32.2700_-86.3750,32.27,-86.375,0.0,,0,0.0,1.0,0.0,0.0,4.4911,1,0.0,0.0,0.0
32.2750_-86.3300,32.275,-86.33,0.0,,0,0.0,7.0,1.0,0.0,3.2411,1,0.1429,0.0,0.0
32.2800_-86.3100,32.28,-86.31,0.0,,0,0.0,1.0,0.0,0.0,3.9856,1,0.0,0.0,0.0
32.2800_-86.3300,32.28,-86.33,0.0,,0,0.0,8.0,0.0,0.0,2.7399,0,0.0,0.0,0.0
32.2800_-86.3900,32.28,-86.39,0.0,,0,0.0,1.0,1.0,0.0,3.3797,1,1.0,0.0,0.0
32.2800_-86.3950,32.28,-86.395,0.0,,0,0.0,1.0,0.0,0.0,3.5014,1,0.0,0.0,0.0
32.2850_-86.1800,32.285,-86.18,0.0,,0,0.0,1.0,0.0,0.0,2.2895,0,0.0,0.0,0.0
32.2850_-86.1850,32.285,-86.185,0.9397759063821093,High,1,1.0,6.0,5.0,0.0,2.6544,0,0.8333,0.0,0.0
32.2850_-86.2450,32.285,-86.245,0.0,,0,0.0,8.0,4.0,0.0,2.0139,0,0.5,0.0,0.0
32.2850_-86.2600,32.285,-86.26,0.0,,0,0.0,24.0,7.0,0.0,2.8346,0,0.2917,0.0,0.0
32.2850_-86.2650,32.285,-86.265,0.0,,0,0.0,38.0,22.0,0.0,3.2008,1,0.5789,0.0,0.0
32.2850_-86.3100,32.285,-86.31,0.0,,0,0.0,1.0,1.0,0.0,3.6749,1,1.0,0.0,0.0
32.2850_-86.3750,32.285,-86.375,0.0,,0,0.0,3.0,0.0,0.0,2.8606,0,0.0,0.0,0.0
32.2850_-86.3800,32.285,-86.38,0.0,,0,0.0,2.0,0.0,0.0,2.774,0,0.0,0.0,0.0
32.2850_-86.3850,32.285,-86.385,0.0,,0,0.0,4.0,2.0,0.0,2.7657,0,0.5,0.0,0.0
32.2850_-86.3900,32.285,-86.39,0.0,,0,0.0,3.0,1.0,0.0,2.8363,0,0.3333,0.0,0.0
32.2850_-86.3950,32.285,-86.395,0.0,,0,0.0,1.0,0.0,0.0,2.9803,0,0.0,0.0,0.0
32.2900_-86.1800,32.29,-86.18,0.0,,0,0.0,5.0,5.0,0.0,2.6974,0,1.0,0.0,0.0
32.2900_-86.1850,32.29,-86.185,0.0,,0,0.0,11.0,8.0,0.0,3.0132,1,0.7273,0.0,0.0
32.2900_-86.1900,32.29,-86.19,0.0,,0,0.0,30.0,3.0,0.0,2.6663,0,0.1,0.0,0.0
32.2900_-86.1950,32.29,-86.195,0.0,,0,0.0,13.0,4.0,0.0,2.3191,0,0.3077,0.0,0.0
32.2900_-86.2000,32.29,-86.2,0.0,,0,0.0,16.0,8.0,0.0,2.0223,0,0.5,0.0,0.0
32.2900_-86.2200,32.29,-86.22,0.0,,0,0.0,3.0,1.0,0.0,1.8307,0,0.3333,0.0,0.0
32.2900_-86.2250,32.29,-86.225,0.0,,0,0.0,6.0,5.0,0.0,1.7739,0,0.8333,0.0,0.0
32.2900_-86.2300,32.29,-86.23,0.0,,0,0.0,9.0,1.0,0.0,1.5048,0,0.1111,0.0,0.0
32.2900_-86.2400,32.29,-86.24,0.0,,0,0.0,1.0,0.0,0.0,1.3509,0,0.0,0.0,0.0
32.2900_-86.2450,32.29,-86.245,0.0,,0,0.0,36.0,17.0,0.0,1.5059,0,0.4722,0.0,0.0
32.2900_-86.2500,32.29,-86.25,0.0,,0,0.0,1.0,0.0,0.0,1.7755,0,0.0,0.0,0.0
32.2900_-86.2550,32.29,-86.255,0.0,,0,0.0,6.0,4.0,0.0,2.1163,0,0.6667,0.0,0.0
